cluster_381	GPQ6GSM04EGSP4
cluster_382	GPQ6GSM03DJ4JN
cluster_383	GPQ6GSM03DRKFC
cluster_384	GPQ6GSM04EOFDW
cluster_385	GPQ6GSM03DKI0M
cluster_386	GPQ6GSM04D4PIC
cluster_387	GPQ6GSM04EDTFW
cluster_388	GPQ6GSM04D9M8I
cluster_389	GPQ6GSM03DGW2V
cluster_390	GPQ6GSM04ETTYE
cluster_391	GPQ6GSM03DLDZE
cluster_392	GPQ6GSM04EP840
cluster_393	GPQ6GSM03DQWOT
cluster_394	GPQ6GSM03DQ7PP
cluster_395	GPQ6GSM04EX906
cluster_396	GPQ6GSM04ELPLV
cluster_397	GPQ6GSM03DPG8T
cluster_398	GPQ6GSM03DRVVU
cluster_399	GPQ6GSM04ERNMV
cluster_400	GPQ6GSM04D7CE7
cluster_401	GPQ6GSM04D6UQL
cluster_402	GPQ6GSM03DEZ42
cluster_403	GPQ6GSM03DQ3KL
cluster_404	GPQ6GSM04ECKIA
cluster_405	GPQ6GSM04ETZ3X
cluster_406	GPQ6GSM03DBWAO
cluster_407	GPQ6GSM04EI3R3
cluster_408	GPQ6GSM04EYDW6
cluster_409	GPQ6GSM04EMQVK
cluster_410	GPQ6GSM03C26BV
cluster_411	GPQ6GSM03DNE5Z
cluster_412	GPQ6GSM04EFWDM
cluster_413	GPQ6GSM03DD8O8
cluster_414	GPQ6GSM04EGPFC
